user_id,topic_id,status,last_update_time,last_seeded_time,first_update_time
10126551,6179114,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-01 12:42:00
10126551,6344566,16777473,2026-07-30 14:47:22,2026-07-26 23:05:01,2024-06-13 22:39:10
10126551,6363298,16777473,2026-07-30 14:47:22,2026-07-25 13:05:01,2024-05-31 10:49:01
10126551,6368999,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-06-07 22:43:21
10126551,6394304,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-06-01 12:42:00
10126551,6394365,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-06-01 12:42:00
10126551,6404876,16777473,2026-07-30 14:47:22,2026-07-30 05:05:01,2026-07-27 21:48:07
10126551,6436098,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-05-31 10:49:01
10126551,6444199,16777473,2026-07-30 14:47:22,2026-07-25 13:05:01,2024-06-07 22:43:21
10126551,6448152,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-05-31 10:49:01
10126551,6449028,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-05-31 10:49:01
10126551,6454238,16777473,2026-07-30 14:47:22,2026-07-29 04:05:01,2024-06-15 13:42:24
10126551,6481393,16777473,2026-07-30 14:47:22,2026-07-30 08:05:01,2024-06-01 12:42:00
10126551,6600780,16777473,2026-07-30 14:47:22,2026-07-30 10:05:01,2024-12-31 21:05:01
10126551,6639675,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2025-02-07 18:05:01
10126551,6639688,16777473,2026-07-30 14:47:22,2026-07-30 05:05:01,2025-02-07 18:05:01
10126551,6684188,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2025-05-05 21:05:01
10126551,6707056,16777473,2026-07-30 14:47:22,2026-07-30 12:05:01,2025-06-17 09:05:01
10126551,6820704,16777473,2026-07-30 14:47:22,2026-07-28 05:05:01,2026-03-01 15:05:01
10126551,6821195,16777473,2026-07-30 14:47:22,2026-07-29 08:05:01,2026-03-01 15:05:01
10126551,6843546,16777473,2026-07-30 14:47:22,2026-07-30 08:05:01,2026-04-13 17:35:26
